# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
3188.2000 A30 2000000 11 2760.2000 Street_5 Station1_0 253 N Street_5->Avenue_14->Avenue_12->Avenue_16->Street_9->Avenue_11->Avenue_14->Avenue_19->Avenue_11->Street_5->Street_10->Station1_0
3233.5000 A203 2000000 1 329.5000 Avenue_14 Street_6 294 N Avenue_14->Street_6
3252.3000 A181 2000000 4 674.3000 Avenue_20 Street_2 288 N Avenue_20->Avenue_16->Avenue_17->Avenue_20->Street_2
3257.1000 A211 2000000 2 249.1000 Street_8 Avenue_14 295 N Street_8->Street_1->Avenue_14
3267.9000 A160 2000000 5 990.9000 Avenue_20 Avenue_17 283 N Avenue_20->Street_1->Street_8->Street_7->Street_6->Avenue_17
3299.4000 A185 2000000 3 654.4000 Street_5 Avenue_17 289 N Street_5->Street_10->Street_9->Avenue_17
3300.9000 A210 2000000 2 303.9000 Street_10 Avenue_17 294 N Street_10->Street_9->Avenue_17
3338.7000 A213 2000000 1 300.7000 Avenue_11 Avenue_20 294 N Avenue_11->Avenue_20
3341.7000 A156 2000000 5 1115.7000 Street_4 Avenue_17 281 N Street_4->Street_10->Street_5->Street_1->Avenue_14->Avenue_17
3379.3000 A208 2000000 3 409.3000 Avenue_20 Street_3 293 N Avenue_20->Street_6->Street_2->Street_3
3404.6000 A207 2000000 1 444.6000 Street_4 Avenue_14 292 N Street_4->Avenue_14
3448.5000 A224 2000000 2 248.5000 Street_10 Street_1 295 N Street_10->Street_8->Street_1
3497.3000 A241 2000000 1 50.3000 Street_2 Street_10 299 N Street_2->Street_10
3510.3000 A140 2000000 5 1524.3000 Avenue_20 Avenue_16 274 N Avenue_20->Street_1->Street_4->Avenue_11->Avenue_12->Avenue_16
3537.6000 A245 2000000 1 30.6000 Street_3 Street_4 299 N Street_3->Street_4
3567.2000 A189 2000000 3 860.2000 Avenue_19 Avenue_17 285 N Avenue_19->Avenue_16->Avenue_18->Avenue_17
3570.7000 A230 2000000 3 275.7000 Avenue_11 Avenue_19 295 N Avenue_11->Avenue_12->Avenue_11->Avenue_19
3616.0000 A215 2000000 3 544.0000 Street_1 Street_3 290 N Street_1->Avenue_14->Street_2->Street_3
3617.5000 A205 2000000 3 687.5000 Street_1 Street_3 288 N Street_1->Avenue_14->Street_2->Street_3
3671.5000 A234 2000000 1 318.5000 Street_9 Street_7 294 N Street_9->Street_7
3682.4000 A232 2000000 3 357.4000 Street_2 Avenue_13 294 N Street_2->Street_6->Street_2->Avenue_13
3686.9000 A239 2000000 2 261.9000 Street_4 Street_5 295 N Street_4->Street_2->Street_5
3688.4000 A237 2000000 1 288.4000 Street_9 Avenue_13 295 N Street_9->Avenue_13
3732.9000 A247 2000000 1 200.9000 Street_5 Street_8 296 N Street_5->Street_8
3735.3000 A260 2000000 1 9.3000 Street_8 Street_2 299 N Street_8->Street_2
3768.6000 A229 2000000 2 491.6000 Avenue_15 Avenue_12 291 N Avenue_15->Avenue_14->Avenue_12
3771.4000 A196 2000000 5 951.4000 Avenue_14 Street_10 284 N Avenue_14->Street_6->Street_2->Street_3->Street_7->Street_10
3777.6000 A255 2000000 3 127.6000 Avenue_13 Avenue_18 297 N Avenue_13->Avenue_19->Avenue_11->Avenue_18
3833.0000 A253 2000000 2 211.0000 Avenue_14 Avenue_11 296 N Avenue_14->Avenue_12->Avenue_11
3833.2000 A200 2000000 2 966.2000 Avenue_15 Street_6 283 N Avenue_15->Avenue_16->Street_6
3839.4000 A220 2000000 3 698.4000 Avenue_13 Avenue_15 288 N Avenue_13->Avenue_19->Avenue_13->Avenue_15
3865.9000 A262 2000000 1 114.9000 Street_9 Street_8 298 N Street_9->Street_8
3902.7000 A264 2000000 1 127.7000 Street_7 Street_4 297 N Street_7->Street_4
3938.3000 A238 2000000 3 526.3000 Avenue_12 Street_1 291 N Avenue_12->Avenue_11->Street_3->Street_1
3943.6000 A217 2000000 5 841.6000 Avenue_15 Street_5 285 N Avenue_15->Avenue_18->Avenue_20->Avenue_18->Street_6->Street_5
3944.9000 A227 2000000 8 696.9000 Street_5 Avenue_20 288 N Street_5->Street_6->Street_1->Street_9->Avenue_11->Avenue_18->Street_6->Street_2->Avenue_20
3945.1000 A252 2000000 2 336.1000 Street_1 Street_10 294 N Street_1->Street_6->Street_10
3974.4000 A277 2000000 1 9.4000 Avenue_14 Avenue_19 299 N Avenue_14->Avenue_19
4001.0000 A206 2000000 5 1052.0000 Avenue_15 Street_2 282 N Avenue_15->Avenue_18->Avenue_16->Avenue_20->Avenue_12->Street_2
4001.0000 A212 2000000 4 976.0000 Street_4 Avenue_20 283 N Street_4->Street_8->Street_9->Street_1->Avenue_20
4010.0000 A233 2000000 4 670.0000 Street_8 Avenue_12 288 N Street_8->Street_9->Street_1->Avenue_20->Avenue_12
4013.9000 A236 2000000 4 625.9000 Avenue_12 Street_5 289 N Avenue_12->Avenue_11->Avenue_16->Street_9->Street_5
4015.4000 A271 2000000 1 140.4000 Street_9 Street_5 297 N Street_9->Street_5
4034.9000 A282 2000000 1 2.9000 Street_5 Street_9 299 N Street_5->Street_9
4044.2000 A267 2000000 2 229.2000 Avenue_13 Avenue_11 296 N Avenue_13->Avenue_18->Avenue_11
4046.9000 A274 2000000 2 122.9000 Street_9 Street_2 297 N Street_9->Street_5->Street_2
4048.4000 A270 2000000 1 188.4000 Street_5 Street_2 296 N Street_5->Street_2
4069.7000 A244 2000000 4 580.7000 Avenue_11 Street_7 290 N Avenue_11->Avenue_13->Street_10->Street_9->Street_7
4071.2000 A272 2000000 1 180.2000 Street_7 Street_9 296 N Street_7->Street_9
4094.3000 A280 2000000 1 92.3000 Avenue_15 Street_4 298 N Avenue_15->Street_4
4132.4000 A266 2000000 3 328.4000 Street_2 Avenue_13 294 N Street_2->Avenue_20->Avenue_17->Avenue_13
